Estación;cod_est;05/02/2024;06/02/2024;07/02/2024;08/02/2024;09/02/2024;10/02/2024;11/02/2024;10/06/2024;11/06/2024;12/06/2024;13/06/2024;14/06/2024;15/06/2024;16/06/2024;29/07/2024;30/07/2024;31/07/2024;01/08/2024;02/08/2024;03/08/2024;04/08/2024;11/11/2024;12/11/2024;13/11/2024;14/11/2024;15/11/2024;16/11/2024;17/11/2024
Puerta de Arganda;922;10722;11165;11141;6780;9538;5191;3827;8889;9836;9637;9684;9874;5650;4327;7181;7382;7363;6787;6471;3942;3237;11778;11546;11852;11818;11752;6188;4618
Puerta de Toledo;518;6346;6678;6799;6775;6839;4259;4643;5663;6139;6384;6013;6008;3846;4387;4052;4124;4118;3633;3555;2432;2995;6563;7275;7238;7115;7068;4437;5137
Puerta del Ángel;626;9978;11088;11158;10770;11331;7958;5994;9480;10325;10528;10871;10381;7730;6310;7281;7741;7790;7286;6950;5157;4050;10619;10992;11440;11232;11600;8258;5198
Quevedo;213;9143;9829;10386;10423;10140;7813;4965;8827;9520;9300;8951;9196;6560;5020;6173;6405;6578;6046;5667;3880;3002;9461;9457;10040;10254;10248;7187;5165
Quintana;506;8580;8942;9029;8859;9578;7128;4926;8158;8760;8856;8809;8933;6758;5228;6414;6690;6776;6751;6438;4874;3830;8786;9325;9326;9463;9756;7372;5474
República Argentina;617;5873;6115;5995;6102;5402;2100;1265;5038;5281;5095;5213;4639;1675;985;3041;3016;3057;2687;2256;749;598;6216;6569;6782;6341;5270;1730;1262
Retiro;205;7622;7708;7606;7588;7071;8468;6039;7449;11126;11163;12066;12785;15017;14675;6482;7192;6816;6684;6143;6439;5939;8048;8034;7262;7480;8210;8421;8297
Ríos Rosas;107;8050;8884;8968;9029;8480;4943;3263;7140;8345;7938;8119;6908;4094;2876;4708;5039;4901;4464;4028;2454;1772;8199;9095;9569;9237;8724;5379;3558
Ronda de la Comunicación;1054;1639;2027;2125;1986;1301;487;388;1555;1971;2002;1779;1166;350;274;1085;1272;1205;1054;679;224;186;1733;2085;2216;1960;1179;517;358
Rubén Darío;511;7407;7910;7751;7956;7258;3453;2140;7604;8150;7939;8133;6960;3333;2452;5125;5510;5225;4618;4065;1950;1466;7523;8101;8305;7724;7085;3447;2148
Sáinz de Baranda;612;10544;11251;11225;11187;10804;6034;4164;10794;10875;10836;10821;10336;5989;4127;6418;6902;6719;5930;5542;2911;2137;10794;11501;11441;11786;11427;6136;4269
San Bernardo;212;9082;9704;10060;10116;9650;5902;3839;8455;9005;9315;8885;8471;5174;3803;5711;6057;6067;5320;4857;3053;2109;9622;10125;10556;10312;9799;5939;4093
San Blas;702;5201;5328;5905;5244;5091;3406;2340;4600;4810;5109;5202;5243;3280;2759;3702;3745;3742;3702;3534;2848;2408;5416;5336;5476;5514;5512;3357;2491
San Cipriano;921;3085;3168;3296;3042;3406;2098;1479;3020;2830;3121;3140;3236;2002;1606;2190;2264;2345;2296;2207;1580;1266;3151;3152;3160;3240;3408;2276;1632
San Cristóbal;356;6767;6761;6857;6651;7155;5467;4497;6620;6922;6919;6905;7114;5436;4405;5632;5641;5609;5484;5547;4777;4080;7461;7309;7129;7270;7692;5707;4900
San Fermín-Orcasur;353;8624;9079;8994;8677;9248;6529;4283;7962;8462;8372;8385;8740;6261;4708;6034;6323;6222;5926;5764;4674;3478;9646;9568;9661;9864;11503;9542;5343
San Francisco;1104;3669;3777;3786;3709;3849;2826;2630;3679;3847;3876;3877;4055;2869;2548;2934;2953;3046;2918;2925;2414;2232;3995;4043;3961;4032;4289;3011;2659
San Lorenzo;419;5413;5973;5917;5861;5290;2853;1860;5240;5848;5744;5779;5105;2757;2054;3829;4043;4046;3705;3297;2065;1474;5600;6022;5877;5938;5647;2997;2080
Santiago Bernabéu;1006;13121;13437;14005;14368;14386;25339;7446;10907;11002;11270;11080;10276;6676;4832;8558;8890;8701;7889;7467;4843;3851;11282;10984;11140;11068;11224;6237;6514
Santo Domingo;210;4758;5055;5279;5423;5931;6606;4903;4860;4942;5247;5246;5788;5509;5011;3649;4366;4337;3998;4245;4215;3138;4711;5170;4995;5202;5966;6194;4489
Serrano;406;7988;8474;8722;9175;8911;6300;3516;7904;8577;8652;8971;8356;5423;3299;6247;6519;6393;5810;5145;3474;2107;8712;9328;9402;9116;9156;6703;5314
Sevilla;207;4123;4600;4835;4951;5409;4655;3459;4358;4594;4690;4567;4958;3922;3243;3181;3710;3610;3345;3201;2456;1845;3999;4441;4690;4400;4559;4124;3003
Sierra de Guadalupe;125;10187;10448;10461;10370;10075;6441;4842;9299;10175;9899;10217;9800;6286;5301;7840;7916;7866;7521;7419;4827;4160;10912;11065;11186;11216;11435;6990;5398
Simancas;703;7027;7145;7858;7249;7386;5361;3864;6841;7202;7333;7264;7918;5369;4375;5540;5647;5613;5515;5465;4427;3282;7224;7426;7315;7407;7785;5421;4193
Sol;112;54854;57528;59556;59107;61488;69589;54244;53704;58854;61065;61798;65865;62217;53598;47846;49362;50856;48602;47764;49141;38810;61665;64180;62085;63231;73485;76828;58668
Suanzes;503;7812;8405;8425;8066;7297;3731;2660;7639;8366;8566;8173;7403;3474;2461;5785;6152;6042;5600;4818;2183;1704;8239;8726;8408;8440;7806;3701;2728
Tetuán;103;11714;12055;12305;12512;12516;9804;7252;11563;12071;12163;12452;12557;9296;7527;8710;9211;9362;8757;8684;6613;5223;12090;12516;12360;12412;13008;10007;7773
Tirso de Molina;113;10724;11134;11616;12202;13544;12503;11340;10883;11860;11935;12418;13174;10896;11266;7906;8835;9036;8789;8743;7516;7397;11667;12688;12844;13038;14402;14149;12703
Torre Arias;502;6190;6497;6579;6143;6172;3783;2407;5510;6239;6132;6218;6077;3507;2654;4195;4446;4323;4013;3805;2505;1751;6622;6644;6780;6856;6762;3991;2725
Tres Olivos;1051;3175;3478;3692;3448;3550;2566;1187;3007;3337;3486;3512;3330;2063;1401;2037;2216;2184;1922;1740;1148;891;2988;3619;2805;3692;3791;2323;1400
Tribunal;110;14790;15896;17021;17873;19683;19342;12115;14331;16013;16675;16471;17924;15427;11244;10654;11814;12109;11431;13449;9523;6997;16489;17366;17675;18194;20517;19844;13116
Urgel;522;9471;9761;9908;9797;10197;7689;5520;9486;9918;10155;10011;10322;8023;6136;7565;7630;7810;7479;7538;6116;4656;10267;10395;10440;10519;10994;8324;6404
Usera;606;17425;17947;17856;18336;19884;26243;26390;17519;18102;18370;18733;18927;15482;12777;14710;15061;15279;15009;15159;12737;10575;18839;18679;18647;18799;19995;16510;13156
Valdeacederas;102;9179;9406;9835;9942;10030;7083;5296;8972;9032;9017;9337;9510;6529;5118;6351;5338;5868;5998;5784;5166;3808;9635;9905;10205;10110;10324;8006;5865
Valdebernardo;919;6473;6940;6830;7179;6901;4042;2761;5811;6523;6461;6611;6473;3878;3043;3963;4092;4171;3878;3683;2415;1727;6523;6875;6780;6943;7053;4270;2936
Valdecarros;130;3505;3587;3749;3677;3607;2393;1443;3426;3789;3915;3855;3857;2357;1753;2657;2790;2855;2632;2629;1806;1204;4103;4224;4114;4218;4296;2845;1896
Valdezarza;717;4038;4329;4545;4407;4651;3317;2232;3884;4246;4254;4308;4334;3005;2263;2869;3082;3047;2823;2651;1797;1321;4256;4560;4452;4644;4725;3314;2403
Velázquez;407;7017;7390;7389;7785;7491;4523;2765;7150;7499;7497;7431;6831;3908;2734;5127;5648;5404;4864;3815;2366;1668;7530;8132;8091;7850;7318;4485;3320
Ventas;201;8444;8969;9254;8968;9845;8413;5361;8408;9083;9417;9443;10004;6967;10445;6102;6424;6249;5895;5684;4225;4290;8720;8978;8748;9226;9755;8206;5889
Ventilla;903;4465;4642;4685;4841;4572;3077;2550;4498;4601;4621;4840;4689;3037;2868;3208;3294;3284;3385;3106;2165;2206;4977;4905;5042;5200;5093;3196;2964
Ventura Rodríguez;309;5734;5832;6214;6175;6140;2988;2329;5384;5518;5655;5394;5121;2557;2009;3124;3348;3447;3191;2979;1721;1493;5723;6247;6592;5902;5720;3269;2270
Vicálvaro;920;7051;7197;7251;6390;6453;3288;2286;4348;4907;5003;4997;4961;3336;2407;3215;3255;3287;3058;3060;2144;1713;7517;7667;7604;7579;7285;3691;2677
Vicente Aleixandre;621;7221;7503;7794;7799;7017;2438;1439;4143;4006;3945;4162;3789;1266;970;1893;1963;1979;1825;1352;485;379;7310;8977;8886;9174;8094;2610;1458
Villa de Vallecas;126;6902;7287;6977;7038;7392;5676;4000;6709;7417;7168;7399;7370;5178;4164;5181;5612;5585;5285;5309;4305;3300;7516;7874;7569;7726;8281;5902;4421
Villaverde Alto;357;11134;11463;11784;11352;11967;7958;6154;10974;11698;11671;12073;11787;7754;6341;9314;9496;9466;9113;9523;7068;5406;13937;12920;12547;12815;13311;8417;6550
Villaverde Bajo-Cruce;355;14979;15312;15361;15157;16399;10656;7989;14583;15820;15407;15787;15614;11080;8715;12345;12332;12657;11803;12075;9584;7485;17578;17199;16000;16315;17037;11796;9014
Vinateros;916;7135;7639;7481;7436;7598;4370;2921;6517;7160;7048;7051;6814;4290;3221;4283;4595;4527;4222;4130;2619;1969;7472;7556;7671;7760;7724;4513;3277
Vista Alegre;524;8118;8456;8439;8484;8584;8206;5027;8038;8624;8592;8557;10388;8813;5618;6469;6746;6816;6850;6813;5851;4721;8643;8823;9365;8681;9099;7458;5709
